date	value
2018-09-01	21.1
2018-10-01	21.2
2018-11-01	-1
2018-12-01	-3.6
2019-01-01	-8.4
2019-02-01	-4.3
2019-03-01	2.2
2019-04-01	1.9
2019-05-01	0.5
2019-06-01	-4.2
2019-07-01	-2.8
2019-08-01	-4
2019-09-01	-5.5
2019-10-01	-3.4
2019-11-01	7.4
2019-12-01	9.2
2020-01-01	15.6
2020-02-01	8.7
2020-03-01	-7.1
2020-04-01	-28.6
2020-05-01	-25.6
2020-06-01	-14.8
2020-07-01	-12.5
2020-08-01	-10.5
2020-09-01	-14.4
2020-10-01	-17.6
2020-11-01	-16.1
2020-12-01	-15
2021-01-01	-10.6
2021-02-01	-5.3
2021-03-01	7.1
2021-04-01	36.4
2021-05-01	28.8
2021-06-01	21.3
2021-07-01	20.9
2021-08-01	22.9
2021-09-01	28.6
2021-10-01	31.9
2021-11-01	36.5
2021-12-01	26.1
2022-01-01	32.2
2022-02-01	33.5
2022-03-01	44.1
2022-04-01	22.1
2022-05-01	35.6
2022-06-01	39.2
2022-07-01	28
2022-08-01	14.3
2022-09-01	10.3
2022-10-01	10.6
2022-11-01	17.7
2022-12-01	13.4
2023-01-01	7.4
2023-02-01	4.9
2023-03-01	-7
2023-04-01	11.3
2023-05-01	-7.5
2023-06-01	-9.2
2023-07-01	-3.9
2023-08-01	14.4
2023-09-01	17.7
2023-10-01	14.4
2023-11-01	0.6
2023-12-01	3.4
2024-01-01	4.2
2024-02-01	3.1
2024-03-01	11.5
2024-04-01	6.4
2024-05-01	10.1
2024-06-01	7.8
2024-07-01	5
2024-08-01	-6.5
2024-09-01	-12.9
2024-10-01	-12.9
2024-11-01	-8.7
2024-12-01	2.6
2025-01-01	-3.9
2025-02-01	0.3
2025-03-01	-6.9
2025-04-01	-14.1
2025-05-01	-9.2
2025-06-01	-12
2025-07-01	-4.4
2025-08-01	-1.5
2025-09-01	3.5
2025-10-01	0.5
