date	value
1960-06-01	
1961-06-01	
1962-06-01	
1963-06-01	
1964-06-01	
1965-06-01	
1966-06-01	
1967-06-01	
1968-06-01	
1969-06-01	
1970-06-01	
1971-06-01	
1972-06-01	
1973-06-01	
1974-06-01	
1975-06-01	
1976-06-01	
1977-06-01	
1978-06-01	
1979-06-01	
1980-06-01	
1981-06-01	
1982-06-01	
1983-06-01	
1984-06-01	
1985-06-01	
1986-06-01	
1987-06-01	
1988-06-01	
1989-06-01	
1990-06-01	
1991-06-01	
1992-06-01	
1993-06-01	
1994-06-01	
1995-06-01	
1996-06-01	
1997-06-01	
1998-06-01	
1999-06-01	
2000-06-01	
2001-06-01	
2002-06-01	22787
2003-06-01	27446
2004-06-01	28952
2005-06-01	31387
2006-06-01	47419
2007-06-01	55998
2008-06-01	67103
2009-06-01	76501
2010-06-01	67543
2011-06-01	84530
2012-06-01	139816
2013-06-01	164671
2014-06-01	149716
2015-06-01	118361
2016-06-01	85714
2017-06-01	64285
2018-06-01	61377
2019-06-01	52909
2020-06-01	57103
2021-06-01	58319
2022-06-01	63656
2023-06-01	64666
