date	value
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	
1985-12-01	
1986-03-01	
1986-06-01	
1986-09-01	
1986-12-01	0.8
1987-03-01	0.8
1987-06-01	0.9
1987-09-01	1.4
1987-12-01	1.4
1988-03-01	0.8
1988-06-01	1.4
1988-09-01	1
1988-12-01	1.3
1989-03-01	1.5
1989-06-01	1.2
1989-09-01	0.5
1989-12-01	-0.2
1990-03-01	-0.8
1990-06-01	-1
1990-09-01	-2
1990-12-01	-2.9
1991-03-01	-2.1
1991-06-01	0.4
1991-09-01	2.2
1991-12-01	2.4
1992-03-01	1.1
1992-06-01	0.5
1992-09-01	1.4
1992-12-01	2.6
1993-03-01	2.4
1993-06-01	1.1
1993-09-01	0.9
1993-12-01	1.7
1994-03-01	2.3
1994-06-01	2.3
1994-09-01	1.3
1994-12-01	0.6
1995-03-01	0.5
1995-06-01	0.1
1995-09-01	-0.1
1995-12-01	-0.8
1996-03-01	-1.5
1996-06-01	-1.2
1996-09-01	-0.2
1996-12-01	1.3
1997-03-01	2
1997-06-01	1.4
1997-09-01	-0.2
1997-12-01	-1.3
1998-03-01	-0.7
1998-06-01	0.2
1998-09-01	1
1998-12-01	1.5
1999-03-01	0.3
1999-06-01	-0.8
1999-09-01	0.3
1999-12-01	3.4
2000-03-01	5.2
2000-06-01	2.3
2000-09-01	-1.7
2000-12-01	-2.9
2001-03-01	-2.1
2001-06-01	-0.1
2001-09-01	1.6
2001-12-01	2.3
2002-03-01	2.2
2002-06-01	1.2
2002-09-01	0.3
2002-12-01	0.2
2003-03-01	-0.4
2003-06-01	-0.3
2003-09-01	0.5
2003-12-01	1.5
2004-03-01	1.6
2004-06-01	0.1
2004-09-01	-1.9
2004-12-01	-2.2
2005-03-01	-0.9
2005-06-01	0.1
2005-09-01	0.1
2005-12-01	-0.7
2006-03-01	-1
2006-06-01	-0.7
2006-09-01	-0.5
2006-12-01	0.3
2007-03-01	1.4
2007-06-01	1.5
2007-09-01	0.6
2007-12-01	-0.2
2008-03-01	-0.4
2008-06-01	-0.7
2008-09-01	-2.4
2008-12-01	-3.8
2009-03-01	-4.4
2009-06-01	-3
2009-09-01	-0.4
2009-12-01	0.9
2010-03-01	0.5
2010-06-01	-1
2010-09-01	-1.9
2010-12-01	-1.2
2011-03-01	-0.7
2011-06-01	-1.3
2011-09-01	-2
2011-12-01	-2.3
2012-03-01	-2.1
2012-06-01	-1.5
2012-09-01	-0.2
2012-12-01	1.1
2013-03-01	1.3
2013-06-01	0.2
2013-09-01	-0.1
2013-12-01	0.7
2014-03-01	0.8
2014-06-01	-0.6
2014-09-01	-0.9
2014-12-01	0.7
2015-03-01	1.9
2015-06-01	1.4
2015-09-01	0.1
2015-12-01	-1
2016-03-01	-0.7
2016-06-01	-0.4
2016-09-01	-0.1
2016-12-01	-0.7
2017-03-01	-0.5
2017-06-01	-0.1
2017-09-01	1
2017-12-01	1.5
2018-03-01	0.9
2018-06-01	-0.7
2018-09-01	-1.4
2018-12-01	-2.5
2019-03-01	-2.9
2019-06-01	
2019-09-01	
2019-12-01	
2020-03-01	
2020-06-01	
2020-09-01	
2020-12-01	
2021-03-01	
2021-06-01	
2021-09-01	
2021-12-01	
2022-03-01	
2022-06-01	
