date	value
2017-09-01	
2017-10-01	
2017-11-01	
2017-12-01	
2018-01-01	
2018-02-01	
2018-03-01	
2018-04-01	
2018-05-01	
2018-06-01	
2018-07-01	
2018-08-01	
2018-09-01	
2018-10-01	
2018-11-01	
2018-12-01	
2019-01-01	
2019-02-01	
2019-03-01	
2019-04-01	
2019-05-01	
2019-06-01	
2019-07-01	
2019-08-01	
2019-09-01	
2019-10-01	
2019-11-01	
2019-12-01	
2020-01-01	
2020-02-01	
2020-03-01	
2020-04-01	
2020-05-01	
2020-06-01	
2020-07-01	
2020-08-01	
2020-09-01	
2020-10-01	
2020-11-01	
2020-12-01	
2021-01-01	
2021-02-01	
2021-03-01	
2021-04-01	
2021-05-01	
2021-06-01	
2021-07-01	
2021-08-01	
2021-09-01	
2021-10-01	
2021-11-01	
2021-12-01	
2022-01-01	
2022-02-01	
2022-03-01	
2022-04-01	
2022-05-01	
2022-06-01	
2022-07-01	83.04
2022-08-01	83.47
2022-09-01	84
2022-10-01	84.59
2022-11-01	84.74
2022-12-01	85.19
2023-01-01	85.7
2023-02-01	86.24
2023-03-01	86.67
2023-04-01	87.36
2023-05-01	87.96
2023-06-01	88.69
2023-07-01	89.35
2023-08-01	89.99
2023-09-01	90.3
2023-10-01	90.19
2023-11-01	90.78
2023-12-01	91.5
2024-01-01	92.11
2024-02-01	92.73
2024-03-01	93.36
2024-04-01	93.9
2024-05-01	94.46
2024-06-01	94.96
2024-07-01	95.52
2024-08-01	96.05
2024-09-01	96.31
2024-10-01	96.28
2024-11-01	96.78
2024-12-01	97.14
2025-01-01	97.48
2025-02-01	97.83
2025-03-01	98.2
2025-04-01	98.54
2025-05-01	98.74
2025-06-01	98.96
2025-07-01	99.26
2025-08-01	99.57
2025-09-01	99.95
2025-10-01	100.33
2025-11-01	100.69
2025-12-01	100.97
2026-01-01	101.25
2026-02-01	101.52
2026-03-01	101.79
2026-04-01	102
2026-05-01	102.25
