date	value
2017-09-01	
2017-10-01	
2017-11-01	
2017-12-01	
2018-01-01	
2018-02-01	
2018-03-01	
2018-04-01	
2018-05-01	
2018-06-01	
2018-07-01	
2018-08-01	
2018-09-01	
2018-10-01	
2018-11-01	
2018-12-01	
2019-01-01	
2019-02-01	
2019-03-01	
2019-04-01	
2019-05-01	
2019-06-01	
2019-07-01	
2019-08-01	
2019-09-01	
2019-10-01	
2019-11-01	
2019-12-01	
2020-01-01	
2020-02-01	
2020-03-01	
2020-04-01	
2020-05-01	
2020-06-01	
2020-07-01	
2020-08-01	
2020-09-01	
2020-10-01	
2020-11-01	
2020-12-01	
2021-01-01	
2021-02-01	
2021-03-01	
2021-04-01	
2021-05-01	
2021-06-01	
2021-07-01	
2021-08-01	
2021-09-01	
2021-10-01	
2021-11-01	
2021-12-01	
2022-01-01	
2022-02-01	
2022-03-01	
2022-04-01	
2022-05-01	
2022-06-01	
2022-07-01	
2022-08-01	
2022-09-01	
2022-10-01	
2022-11-01	
2022-12-01	
2023-01-01	
2023-02-01	
2023-03-01	
2023-04-01	
2023-05-01	
2023-06-01	
2023-07-01	
2023-08-01	
2023-09-01	
2023-10-01	
2023-11-01	
2023-12-01	
2024-01-01	
2024-02-01	
2024-03-01	
2024-04-01	1.01273
2024-05-01	1.00876
2024-06-01	1.005
2024-07-01	1.00088
2024-08-01	0.9982
2024-09-01	0.99392
2024-10-01	0.99049
2024-11-01	0.98773
2024-12-01	0.98478
2025-01-01	0.98138
2025-02-01	1.01914
2025-03-01	1.01698
2025-04-01	1.01252
2025-05-01	1.00857
2025-06-01	1.00514
2025-07-01	1.0008
2025-08-01	0.99842
2025-09-01	0.99404
2025-10-01	0.99072
2025-11-01	0.98784
2025-12-01	0.98489
2026-01-01	0.98126
2026-02-01	1.01897
2026-03-01	1.01678
2026-04-01	1.01237
2026-05-01	1.00842
2026-06-01	1.00531
